bitmask,channel_names_active,ownership_pct,mean_alpha,solve_time
799,SS+Bequests+Medical+R-S+Pessimism+Age needs+Public-care aversion (LTC)+Source-dependent utility (SDU),77.9691,0.380555,461.7
800,State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),79.9719,0.592323,15.9
801,SS+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.997674,65.0
802,Bequests+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),79.6557,0.583489,15.8
803,SS+Bequests+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.977136,60.1
804,Medical+R-S+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),43.1131,0.412625,124.0
805,SS+Medical+R-S+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),98.5594,0.802576,508.9
806,Bequests+Medical+R-S+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),43.0429,0.400211,113.3
807,SS+Bequests+Medical+R-S+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),98.5594,0.768408,460.0
808,Pessimism+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),63.7386,0.498475,16.7
809,SS+Pessimism+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),99.4378,0.811437,64.3
810,Bequests+Pessimism+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),63.2467,0.467414,15.6
811,SS+Bequests+Pessimism+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),99.2270,0.712814,61.7
812,Medical+R-S+Pessimism+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),40.2670,0.369708,124.6
813,SS+Medical+R-S+Pessimism+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),91.7428,0.594789,491.9
814,Bequests+Medical+R-S+Pessimism+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),39.8454,0.341483,113.9
815,SS+Bequests+Medical+R-S+Pessimism+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),92.0590,0.513419,466.6
816,Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),70.3795,0.538275,16.1
817,SS+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.950471,64.5
818,Bequests+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),70.3443,0.525942,15.1
819,SS+Bequests+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),100.0000,0.921890,62.6
820,Medical+R-S+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),41.8833,0.393760,119.4
821,SS+Medical+R-S+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),97.8215,0.731110,513.1
822,Bequests+Medical+R-S+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),41.6725,0.377590,112.5
823,SS+Bequests+Medical+R-S+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),98.1026,0.687846,473.5
824,Pessimism+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),59.2762,0.461128,16.2
825,SS+Pessimism+Age needs+State utility+Public-care aversion (LTC)+Source-dependent utility (SDU),90.8644,0.644729,63.7
